US,IN,UK,IR,PK,SP,IS,CA,CH,RS,AS,FR,MX,GM,TU,RP,SF,KS,SA,BR
200347,43990,19337,12208,9271,9813,5823,13717,121157,34696,14273,21542,9352,21045,8189,3606,4152,16421,26068,23646
USA,India,UK,Iran,Pakistan,Spain,Israel,Canada,China,Russia,Australia,France,Mexico,Germany,Turkey,Philippines,SouthAfrica,SouthKorea,SaudiArabia,Brazil
